,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-17,06-10,06-07,,,,,,,,,,,,,,,,,,,,,
-----,기본,서울숲맛집,https://m.place.naver.com/restaurant/1910927846/home?entry=pll,난포,,2024-06-07 15:57:25,"233,000+","233,000+","233,000+","232,000+","232,000+","231,000+","231,000+","230,000+","230,000+","229,000+","228,000+","228,000+","227,000+","227,000+","227,000+","226,000+","226,000+","225,000+","224,000+","223,000+","223,000+","222,000+","222,000+",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 5,054개","블 5,046개","블 5,046개","블 5,029개","블 5,028개","블 5,026개","블 5,024개","블 5,014개","블 5,002개","블 4,992개",블 4985개,"블 4,988개","블 4,986개","블 4,978개","블 4,968개","블 4,960개","블 4,949개","블 4,932개","블 4,909개","블 4,895개","블 4,879개","블 4,873개","블 4,864개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 4,588개","방 4,581개","방 4,573개","방 4,565개","방 4,562개","방 4,561개","방 4,557개","방 4,554개","방 4,551개","방 4,545개",방 4542개,"방 4,534개","방 4,528개","방 4,528개","방 4,525개","방 4,517개","방 4,514개","방 4,512개","방 4,497개","방 4,486개","방 4,477개","방 4,463개","방 4,452개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-17,06-10,06-07,,,,,,,,,,,,,,,,,,,,,
-----,기본,남양주맛집,https://m.place.naver.com/restaurant/38729318/home?entry=pll,천하장사 남양주본점,,2024-06-07 15:51:15,"27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","27,000+","25,000+","24,000+","23,000+","23,000+","23,000+","23,000+",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,390개","블 1,387개","블 1,385개","블 1,383개","블 1,383개","블 1,381개","블 1,378개","블 1,377개","블 1,377개","블 1,378개","블 1,378개","블 1,378개","블 1,378개","블 1,378개","블 1,377개","블 1,375개","블 1,378개","블 1,385개","블 1,358개","블 1,360개","블 1,358개","블 1,347개","블 1,341개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 3,021개","방 2,987개","방 2,982개","방 2,947개","방 2,948개","방 2,915개","방 2,901개","방 2,860개","방 2,851개","방 2,827개","방 2,822개","방 2,792개","방 2,779개","방 2,743개","방 2,731개","방 2,701개","방 2,688개","방 2,642개","방 2,600개","방 2,569개","방 2,531개","방 2,490개","방 2,461개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
